,IDfg,Name,Age,G,IP,WAR,name_last,name_first,key_bbref,mlb_played_first,2023,shortName,2024,S2,2024Est,Selectable,Position_Starter,Position_Reliever
360,17464,Jonathan Hernandez,24,29,30.1,0.0,hernández,jonathan,hernajo02,2019.0,995000.0,Texas,A2,False,720000.0,True,False,True
361,17479,Jack Flaherty,25,9,36.0,0.0,flaherty,jack,flaheja01,2017.0,5400000.0,St. Louis,FA,False,0.0,True,True,False
362,20778,Cristopher Sanchez,24,15,40.0,0.0,sánchez,cristopher,sanchcr01,2021.0,725000.0,Philadelphia,,False,0.0,False,False,True
363,12572,Blake Treinen,33,5,5.0,0.0,treinen,blake,treinbl01,2014.0,8000000.0,LA Dodgers,opt,False,720000.0,True,False,True
364,6107,Huascar Brazoban,31,27,32.0,0.0,brazobán,huascar,brazohu01,2022.0,724000.0,Miami,,False,0.0,False,False,True
365,20349,Zack Kelly,26,13,13.2,0.0,kelly,zack,kellyza01,2022.0,723500.0,Boston,,False,0.0,False,False,True
366,23221,Michael Grove,24,7,29.1,0.0,grove,michael,grovemi01,2022.0,722500.0,LA Dodgers,,False,0.0,False,False,True
367,14706,Anthony Banda,27,32,26.2,0.0,banda,anthony,bandaan01,2017.0,850000.0,Washington,A1,False,720000.0,True,False,True
368,20167,Kyle Muller,23,3,12.1,0.0,muller,kyle,mulleky01,2021.0,720000.0,Oakland,,False,0.0,False,True,False
369,13470,Lucas Sims,27,6,6.2,0.0,sims,lucas,simslu01,2017.0,1267500.0,Cincinnati,A3,False,720000.0,True,False,True
370,13293,Danny Coulombe,31,10,12.1,0.0,coulombe,danny,couloda01,2014.0,1000000.0,Baltimore,A3,False,720000.0,True,False,True
371,24094,Ronny Henriquez,21,3,11.2,0.0,henriquez,ronny,henriro01,2022.0,720900.0,Minnesota,,False,0.0,False,False,True
372,1157,Tommy Hunter,34,18,22.1,0.0,hunter,tommy,hunteto02,2008.0,1750000.0,NY Mets,FA,False,0.0,True,False,True
373,11384,Tommy Kahnle,31,13,12.2,0.0,kahnle,tommy,kahnlto01,2014.0,5750000.0,NY Yankees,$5.750,False,5750000.0,True,False,True
374,19482,Andrew Vasquez,27,10,8.2,0.0,vasquez,andrew,vasquan02,2018.0,723500.0,Philadelphia,,False,0.0,True,False,True
375,13050,Anthony DeSclafani,31,5,19.0,0.0,desclafani,anthony,desclan01,2014.0,12000000.0,San Francisco,$12.000,False,12000000.0,True,True,False
376,17264,Sam Coonrod,28,12,12.2,0.0,coonrod,sam,coonrsa01,2019.0,775000.0,NY Mets,A2,False,720000.0,True,False,True
377,19800,Wil Crowe,26,60,76.0,-0.1,crowe,wil,crowewi01,2020.0,745000.0,Pittsburgh,A1,False,720000.0,False,False,True
378,10058,Tyler Matzek,30,42,43.2,-0.1,matzek,tyler,matzety01,2014.0,1200000.0,Atlanta,$1.900,False,1900000.0,True,False,True
379,14771,Emilio Pagan,30,59,63.0,-0.1,pagán,emilio,paganem01,2017.0,3500000.0,Minnesota,FA,False,0.0,True,False,True
380,17735,Tyler Alexander,26,27,101.0,-0.1,alexander,tyler,alexaty01,2019.0,1875000.0,Detroit,A2,False,720000.0,True,False,True
381,26221,Ryan Pepiot,23,9,36.1,-0.1,pepiot,ryan,pepiory01,2022.0,722500.0,LA Dodgers,,False,0.0,False,True,False
382,15046,Trevor Gott,28,45,45.2,-0.1,gott,trevor,gotttr01,2015.0,1200000.0,Seattle,FA,False,0.0,True,False,True
383,22717,Angel Zerpa,21,3,11.0,-0.1,zerpa,angel,zerpaan01,2021.0,721400.0,Kansas City,,False,0.0,False,False,True
384,13767,JT Chargois,30,21,22.1,-0.1,chargois,j. t.,chargjt01,2016.0,850000.0,Miami,A2,False,720000.0,True,False,True
385,24933,Andrew Wantz,25,42,50.1,-0.1,wantz,andrew,wantzan01,2021.0,740000.0,LA Angels,,False,0.0,False,False,True
386,17485,Albert Abreu,25,33,38.2,-0.1,abreu,albert,abreual01,2020.0,738700.0,NY Yankees,,False,0.0,False,False,True
387,13133,Derek Law,30,17,19.2,-0.1,law,derek,lawde01,2016.0,1000000.0,Cincinnati,A2,False,720000.0,True,False,True
388,19330,Matthew Festa,28,53,54.0,-0.1,festa,matt,festama01,2018.0,725200.0,Seattle,,False,0.0,True,False,True
