2023 MLB Salaries,,,,
Last,First,Pos'n,MLS,2023
Williams, Trevor,rhp-s,6.027,"$6,000,000 "
Wendle, Joey,ss,5.088,"$6,000,000 "
Kiner-Falefa, Isiah,ss,5,"$6,000,000 "
Diaz, Yandy,1b,4.122,"$6,000,000 "
Fletcher, David,ss,4.111,"$6,000,000 "
Gurriel Jr., Lourdes,dh,4.094,"$5,828,571 "
Keller, Brad,rhp-s,5,"$5,775,000 "
Kahnle, Tommy,rhp,7.131,"$5,750,000 "
Cease, Dylan,rhp-s,3.089,"$5,700,000 "
Gallen, Zac,rhp-s,3.1,"$5,600,000 "
Farmer, Kyle,inf,4.129,"$5,585,000 "
Quantrill, Cal,rhp-s,3.132,"$5,550,000 "
Chafin, Andrew,lhp,8.02,"$5,500,000 "
Garcia, Yimi,rhp,7.149,"$5,500,000 "
Diaz, Elias,c,6.088,"$5,500,000 "
Lopez, Pablo,rhp-s,4.093,"$5,450,000 "
Flaherty, Jack,rhp-s,5.006,"$5,400,000 "
Glasnow, Tyler,rhp-s,5.158,"$5,350,000 "
Pivetta, Nick,rhp-s,4.166,"$5,350,000 "
Barlow, Scott,rhp,4.03,"$5,300,000 "
Lowe, Brandon,2b,4.058,"$5,250,000 "
SmithC, Will,c,3.09,"$5,250,000 "
Bader, Harrison,cf,5.03,"$5,200,000 "
Lauer, Eric,lhp-s,4.033,"$5,075,000 "
McCutchen, Andrew,rf,13.123,"$5,000,000 "
Maldonado, Martin,c,10.156,"$5,000,000 "
McHugh, Collin,rhp,8.085,"$5,000,000 "
Hedges, Austin,c,6.166,"$5,000,000 "
Lamet, Dinelson,rhp-s,5.07,"$5,000,000 "
Candelario, Jeimer,3b,5.038,"$5,000,000 "
Johnson, Pierce,rhp,3.137,"$5,000,000 "
Tucker, Kyle,rf,3.079,"$5,000,000 "
Harris II, Michael,cf,0.131,"$5,000,000 "
O'Neill, Tyler,72000017,4.059,"$4,950,000 "
Tellez, Rowdy,1b,4.004,"$4,950,000 "
Gallegos, Giovanny,rhp,4.085,"$4,750,000 "
Davies, Zach,rhp-s,7.02,"$4,700,000 "
Urias, Luis,3b,3.12,"$4,700,000 "
Choi, Ji Man,dh-1b,5.076,"$4,650,000 "
Webb, Logan,rhp-s,3.044,"$4,600,000 "
Romano, Jordan,rhp-c,3.051,"$4,537,500 "
Taylor, Michael A.,cf,7.129,"$4,500,000 "
Pina, Manny,c,7.046,"$4,500,000 "
Peterson, Jace,3b,6.142,"$4,500,000 "
Raley, Brooks,lhp,3.045,"$4,500,000 "
Meadows, Austin,rf,4.074,"$4,300,000 "
Minter, A.J.,lhp,4.154,"$4,287,500 "
Kelly, Carson,c,4.161,"$4,275,000 "
Rojas, Miguel,ss,8.043,"$4,250,000 "
Cronenworth, Jake,1b,3,"$4,225,000 "
Davis, J.D.,3b,4.137,"$4,210,000 "
Cooper, Garrett,1b,5.053,"$4,200,000 "
Edman, Tommy,ss,3.114,"$4,200,000 "
Arozarena, Randy,lf,2.129,"$4,150,000 "
Trivino, Lou,rhp,4.163,"$4,100,000 "
Sewald, Paul,rhp-c,4.072,"$4,100,000 "
France, Ty,1b,3.089,"$4,100,000 "
Mullins, Cedric,cf,3.078,"$4,100,000 "
Lowe, Nathaniel,1b,2.145,"$4,050,000 "
Longoria, Evan,3b,14.17,"$4,000,000 "
Miller, Brad,dh-inf,9.004,"$4,000,000 "
Paxton, James,lhp-s,8.151,"$4,000,000 "
Fulmer, Michael,rhp,6.157,"$4,000,000 "
Springs, Jeffrey,lhp-s,4.055,"$4,000,000 "
Murphy, Sean,c,3.029,"$4,000,000 "
Bichette, Bo,ss,3.063,"$3,933,333 "
Soto, Gregory,lhp,3.102,"$3,925,000 "
Floro, Dylan,rhp-c,5.053,"$3,900,000 "
Garver, Mitch,c-dh,5.045,"$3,900,000 "
Chapman, Aroldis,lhp-c,12.009,"$3,750,000 "
Garcia, Luis,rhp,7.007,"$3,750,000 "
Bummer, Aaron,lhp,4.15,"$3,750,000 "
Peralta, Freddy,rhp-s,4.09,"$3,735,000 "
Kemp, Tony,2b,5.098,"$3,725,000 "
Lopez, Nicky,2b,3.139,"$3,700,000 "
Fairbanks, Pete,rhp-c,3.057,"$3,666,666 "
Lopez, Reynaldo,rhp,5.004,"$3,625,000 "
Stanek, Ryne,rhp,5.038,"$3,600,000 "
Houser, Adrian,rhp,4.01,"$3,600,000 "
Laureano, Ramon,rf,3.165,"$3,550,000 "
Lopez, Jorge,rhp,4.102,"$3,525,000 "
Miley, Wade,lhp-s,11.025,"$3,500,000 "
Diekman, Jake,lhp,10.05,"$3,500,000 "
Barnes, Austin,c,6.098,"$3,500,000 "
Castro, Miguel,rhp,6.079,"$3,500,000 "
Bleier, Richard,lhp,6.074,"$3,500,000 "
Pagan, Emilio,rhp,5.091,"$3,500,000 "
Anderson, Brian,rf,5.031,"$3,500,000 "
Jansen, Danny,c,4.05,"$3,500,000 "
Alvarado, Jose,lhp,5.082,"$3,466,667 "
