,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
399,maton,phil,664208,matop002,matonph01,18064,2017.0,2023.0
400,hoerner,nico,663538,hoern001,hoernni01,21479,2019.0,2023.0
401,pérez,roberto,547379,perer003,perezro02,2900,2014.0,2023.0
402,casali,curt,592200,casac001,casalcu01,12510,2014.0,2023.0
403,garcía,jarlín,606424,garcj006,garcija04,18282,2017.0,2022.0
404,domínguez,seranthony,622554,domis001,dominse01,19249,2018.0,2023.0
405,paddack,chris,663978,paddc001,paddach01,20099,2019.0,2023.0
406,mcgough,scott,543518,mcgos001,mcgousc01,12056,2015.0,2023.0
407,franco,wander,677551,franw002,francwa01,23667,2021.0,2023.0
408,luzardo,jesús,666200,luzaj001,luzarje01,19959,2019.0,2023.0
409,keller,mitch,656605,kellm003,kellemi03,17594,2019.0,2023.0
410,thielbar,caleb,573204,thiec001,thielca01,10078,2013.0,2023.0
411,trevino,jose,624431,trevj001,trevijo01,16725,2018.0,2023.0
412,nola,austin,543592,nolaa002,nolaau01,15941,2019.0,2023.0
413,robles,víctor,645302,roblv001,roblevi01,18363,2017.0,2023.0
414,finnegan,kyle,640448,finnk001,finneky01,15009,2020.0,2023.0
415,arcia,orlando,606115,arcio002,arciaor01,13185,2016.0,2023.0
416,brebbia,john,605154,brebj001,brebbjo01,12777,2017.0,2023.0
417,rengifo,luis,650859,rengl001,rengilu01,19858,2019.0,2023.0
418,cisnero,josé,542585,cisnj001,cisnejo01,6399,2013.0,2023.0
419,brubaker,jt,664141,brubj001,brubajt01,17578,2020.0,2022.0
420,loáisiga,jonathan,642528,loaij001,loaisjo01,19753,2018.0,2023.0
421,kennedy,ian,453178,kenni001,kenneia01,6986,2007.0,2023.0
422,dickerson,corey,572816,dickc002,dickeco01,10762,2013.0,2023.0
423,green,chad,643338,greec003,greench03,15552,2016.0,2023.0
424,edwards,carl,605218,edwac001,edwarca01,13607,2015.0,2023.0
425,estrada,thairo,642731,estrt001,estrath01,16426,2019.0,2023.0
426,ramírez,harold,623912,ramih004,ramirha02,14387,2019.0,2023.0
427,thomas,lane,657041,thoml002,thomala02,16939,2019.0,2023.0
428,bubic,kris,663460,bubik001,bubickr01,21455,2020.0,2023.0
429,mejía,francisco,642336,mejif001,mejiafr01,16403,2017.0,2023.0
430,turnbull,spencer,605513,turns003,turnbsp01,16207,2018.0,2023.0
431,helsley,ryan,664854,helsr001,helslry01,18138,2019.0,2023.0
432,berti,jon,542932,bertj001,bertijo01,12037,2018.0,2023.0
433,mayza,tim,641835,mayzt001,mayzati01,15042,2017.0,2023.0
434,espinal,santiago,669289,espis001,espinsa01,19997,2020.0,2023.0
435,moore,dylan,664238,moord002,mooredy01,18042,2019.0,2023.0
436,kittredge,andrew,552640,kitta001,kittran01,12828,2017.0,2023.0
437,kopech,michael,656629,kopem001,kopecmi01,17282,2018.0,2023.0
438,harrison,josh,543281,harrj002,harrijo05,8202,2011.0,2023.0
439,boxberger,brad,502202,boxbb001,boxbebr01,10133,2012.0,2023.0
440,grossman,robbie,543257,grosr001,grossro01,5254,2013.0,2023.0
441,solano,donovan,456781,solad001,solando01,8623,2012.0,2023.0
442,kuhl,chad,641771,kuhlc001,kuhlch01,14975,2016.0,2023.0
443,weaver,luke,596133,weavl001,weavelu01,16918,2016.0,2023.0
444,brasier,ryan,518489,brasr001,brasiry01,5615,2013.0,2023.0
445,tapia,raimel,606132,tapir001,tapiara01,14350,2016.0,2023.0
446,voit,luke,572228,voitl001,voitlu01,14811,2017.0,2023.0
447,reyes,franmil,614177,reyef001,reyesfr01,14566,2018.0,2023.0
